,followers_count,friends_count,favourites_count,listed_count,is_verified,user_age,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate
0,6641,3074,13768,126,1,2711,2.449649576,1.13389893,5.078568794,0.046477315
1,8465,1575,4561,191,1,4424,1.913426763,0.356012658,1.03096745,0.043173599
2,3108,454,2400,77,0,1358,2.288659794,0.334315169,1.76730486,0.056701031
3,304528,526,599,1515,1,4214,72.26578073,0.124822022,0.14214523,0.359515899
4,13693,204,1177,452,1,3200,4.2790625,0.06375,0.3678125,0.14125
5,7555,389,764,412,1,3372,2.240510083,0.115361803,0.226571767,0.122182681
6,538,815,415,5,1,3901,0.137913356,0.20892079,0.106382979,0.001281723
7,3047,1936,7229,103,1,3680,0.82798913,0.526086957,1.964402174,0.02798913
8,17671,9895,10110,0,1,4378,4.036317953,2.260164459,2.309273641,0.0
9,5592,666,4391,196,1,4476,1.249329759,0.148793566,0.98100983,0.043789097
10,252403,272,7327,1598,1,1572,160.5617048,0.17302799,4.660941476,1.01653944
11,1833,784,35051,39,1,4512,0.40625,0.173758865,7.76839539,0.008643617
12,378221,2631,462740,482,1,3808,99.3227416,0.690913866,121.5178571,0.12657563
13,2599,758,448,129,1,4451,0.583913727,0.170298809,0.100651539,0.028982251
14,24786,387,15645,456,1,3445,7.194775036,0.11233672,4.541364296,0.132365747
15,2645,2002,2208,96,1,4169,0.634444711,0.480211082,0.529623411,0.023027105
16,1107407,118,136,1250,1,3016,367.1773873,0.039124668,0.045092838,0.414456233
17,5880,1087,255,169,0,4412,1.332728921,0.246373527,0.057796917,0.038304624
18,1671,683,287,57,1,4412,0.378739801,0.154805077,0.065049864,0.012919311
19,26784,893,11439,708,1,3024,8.857142857,0.295304233,3.782738095,0.234126984
20,3943,391,309,156,0,3066,1.286040444,0.127527723,0.100782779,0.050880626
21,970,543,8749,28,1,4367,0.222120449,0.124341653,2.003434852,0.006411724
22,6064,696,5800,154,1,3770,1.608488064,0.184615385,1.538461538,0.040848806
23,96906,1302,22194,147,1,4024,24.08200795,0.323558648,5.515407555,0.036530815
24,4403,586,8432,138,1,2020,2.17970297,0.29009901,4.174257426,0.068316832
25,2481,1590,21754,112,1,4530,0.547682119,0.350993377,4.802207506,0.024724062
26,4775,291,19515,204,1,4108,1.162366115,0.07083739,4.750486855,0.049659202
27,13173,1198,8791,388,1,4444,2.964221422,0.269576958,1.978172817,0.087308731
28,10083,409,5366,494,1,4552,2.215070299,0.089850615,1.178822496,0.108523726
29,4578,1304,3945,181,1,3862,1.185396168,0.337648887,1.021491455,0.046866908
30,25539,5149,26757,502,1,4459,5.727517381,1.154743216,6.000672797,0.112581296
31,4535,1281,1089,170,1,4436,1.022317403,0.28877367,0.245491434,0.038322813
32,1749,532,1207,81,1,4332,0.403739612,0.122807018,0.278624192,0.018698061
33,23774,1007,11979,286,1,4462,5.328103989,0.22568355,2.684670551,0.064096818
34,3591,378,15820,77,1,3408,1.053697183,0.110915493,4.642018779,0.022593897
35,5825,591,6063,67,1,4538,1.283605112,0.130233583,1.336051124,0.014764213
36,5433,2084,30245,204,1,4338,1.25242047,0.480405717,6.972106962,0.047026279
37,5945,1779,7937,95,1,4401,1.350829357,0.404226312,1.803453761,0.021586003
38,23068,290,10174,210,1,4323,5.336109183,0.067083044,2.353458247,0.048577377
39,1768,661,6562,62,1,4398,0.40200091,0.150295589,1.492041837,0.014097317
40,4312,725,982,123,1,3897,1.106492173,0.186040544,0.251988709,0.031562741
41,1078,2320,1144,43,1,3350,0.321791045,0.692537313,0.341492537,0.012835821
42,5141,2645,7079,167,1,3223,1.595097735,0.820663978,2.196400869,0.051815079
43,9227,2273,2630,401,1,3493,2.641568852,0.650730031,0.75293444,0.114801031
44,1709,351,831,14,1,4307,0.396795914,0.08149524,0.192941723,0.003250522
45,7443,1264,9211,320,1,4120,1.806553398,0.306796117,2.235679612,0.077669903
46,8382,916,18636,135,1,4463,1.878108895,0.20524311,4.175666592,0.030248712
47,48483,133,5400,1146,1,4380,11.06917808,0.030365297,1.232876712,0.261643836
48,13680,3701,14825,370,1,3721,3.676431067,0.994625101,3.984144047,0.099435636
49,77896,49408,900,157,1,3057,25.48119071,16.16225057,0.294406281,0.05135754
50,604,626,549,12,0,1050,0.575238095,0.596190476,0.522857143,0.011428571
51,5459,828,10341,54,1,3297,1.655747649,0.251137398,3.136487716,0.016378526
52,4499,1678,225,266,1,4365,1.03069874,0.384421535,0.051546392,0.06093929
53,3763,1019,3618,76,1,4359,0.863271393,0.233769213,0.830006882,0.017435192
54,6053,217,9780,62,1,3715,1.629340511,0.058411844,2.632570659,0.016689098
55,6192,577,24638,103,1,3913,1.582417582,0.147457194,6.296447738,0.026322515
56,22958,478,6877,451,1,4257,5.392999765,0.112285647,1.615456895,0.105943152
57,87775,3869,118010,6040,1,5149,17.04699942,0.75140804,22.9190134,1.173043309
58,13226,1560,756,984,1,5135,2.575657254,0.303797468,0.147224927,0.191626095
59,5939,1150,19589,82,1,4431,1.340329497,0.259535094,4.420898217,0.018505981
60,6821,4884,2327,282,1,4191,1.627535194,1.165354331,0.555237414,0.067287044
61,59470,182,13063,537,1,1830,32.49726776,0.099453552,7.138251366,0.293442623
62,9568,501,99,334,1,4586,2.08634976,0.10924553,0.02158744,0.072830353
63,9968,900,2545,311,1,4435,2.247576099,0.202931229,0.573844419,0.070124014
64,2080,922,5423,30,1,4429,0.469631971,0.208173403,1.224429894,0.006773538
65,9850,5489,25533,583,1,4904,2.008564437,1.119290375,5.206566069,0.118882545
66,8382,1599,45834,325,1,4421,1.895951142,0.361682877,10.36733771,0.07351278
67,14966,3100,7913,406,1,4169,3.589829695,0.743583593,1.898057088,0.097385464
68,124997,1668,54460,1111,1,1372,91.10568513,1.21574344,39.69387755,0.809766764
69,27893,2988,11578,669,1,4362,6.394543787,0.685006878,2.654287024,0.153370014
70,2616,637,6314,136,1,2875,0.909913043,0.221565217,2.196173913,0.047304348
71,2689,1168,7388,157,1,4724,0.569220999,0.247248095,1.563928874,0.033234547
72,14710,3531,9962,188,1,4317,3.407458883,0.817929117,2.307621033,0.043548761
73,10080,2096,3381,238,1,4346,2.319374137,0.482282559,0.777956742,0.054763
74,1545,440,1598,114,1,4358,0.354520422,0.100963745,0.366681964,0.026158788
75,5955,180,330,218,1,4098,1.453147877,0.043923865,0.080527086,0.053196681
76,67126,1433,38776,631,1,4166,16.11281805,0.343975036,9.307729237,0.151464234
77,14948,1328,638,123,1,4161,3.592405672,0.31915405,0.153328527,0.029560202
78,1803,1368,10944,55,1,4617,0.39051332,0.296296296,2.37037037,0.011912497
79,21616,786,397,613,1,4000,5.404,0.1965,0.09925,0.15325
80,19009,1668,11151,369,1,4649,4.088836309,0.358786836,2.39858034,0.079371908
81,7857,659,2426,193,0,2992,2.626002674,0.220254011,0.810828877,0.064505348
82,10952,2762,61382,113,1,4009,2.73185333,0.688949863,15.31105014,0.02818658
83,60889,572,2827,453,1,4347,14.00713135,0.131585001,0.650333563,0.1042098
84,766651,1531,453,3738,1,4550,168.4947253,0.336483516,0.09956044,0.821538462
85,63972,2068,189,1714,1,4015,15.93325031,0.515068493,0.047073474,0.426899128
86,5833,1220,710,207,1,4402,1.325079509,0.277146751,0.161290323,0.04702408
87,13402,1257,15375,481,1,5006,2.677187375,0.251098682,3.071314423,0.096084698
88,44745,1017,5301,484,1,3904,11.46132172,0.260502049,1.357838115,0.12397541
89,1625,1341,4017,66,1,4409,0.3685643,0.304150601,0.91109095,0.014969381
90,5112,995,903,166,1,3854,1.326414115,0.258173326,0.234302024,0.043072133
91,76061,0,0,1104,1,3549,21.43167089,0.0,0.0,0.311073542
92,6656,367,1570,314,1,4339,1.533994008,0.084581701,0.361834524,0.072366905
93,36966,2215,2130,749,1,4725,7.823492063,0.468783069,0.450793651,0.158518519
94,4978,575,470,173,1,3984,1.249497992,0.144327309,0.117971888,0.043423695
95,2085559,69,9056,4088,1,2064,1010.445252,0.033430233,4.387596899,1.980620155
96,3649,455,2407,76,1,3850,0.947792208,0.118181818,0.625194805,0.01974026
97,18140,2408,10952,379,1,2492,7.27929374,0.966292135,4.394863563,0.152086677
98,1881,957,2442,56,1,4354,0.432016537,0.219797887,0.560863574,0.012861736
99,5724,3467,3242,247,1,4452,1.285714286,0.778751123,0.72821204,0.055480683
100,18387,1987,57740,258,1,4462,4.120797848,0.445316002,12.94038548,0.057821605
101,8572,2930,7519,156,1,4341,1.974660217,0.674959687,1.73208938,0.03593642
102,11824,954,1505,227,1,4377,2.701393649,0.217957505,0.343842815,0.051862006
103,13374,3184,2569,437,0,4432,3.017599278,0.718411552,0.579648014,0.098601083
104,562851,1393,124,599,1,3235,173.9879444,0.430602782,0.038330757,0.185162287
105,1642,268,3188,17,1,3601,0.455984449,0.074423771,0.885309636,0.004720911
106,5983,462,1857,167,1,4281,1.397570661,0.107918711,0.433777155,0.039009577
107,3999,733,7607,90,1,4562,0.876589215,0.160675142,1.667470408,0.019728189
108,17471,4053,11028,389,1,4310,4.053596288,0.94037123,2.558700696,0.09025522
