statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,is_verified,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length
5124,6641,3074,13768,126,0,0,1,2711,1.890077462,2.449649576,1.13389893,5.078568794,0.046477315,2.160377358,12,0,14,0,73
10672,8465,1575,4561,191,0,1,1,4424,2.412296564,1.913426763,0.356012658,1.03096745,0.043173599,5.374603175,11,0,23,0,142
704,3108,454,2400,77,0,0,0,1358,0.518409426,2.288659794,0.334315169,1.76730486,0.056701031,6.845814978,12,0,18,0,90
6091,304528,526,599,1515,0,1,1,4214,1.445420028,72.26578073,0.124822022,0.14214523,0.359515899,578.9505703,10,0,11,0,51
12967,13693,204,1177,452,0,1,1,3200,4.0521875,4.2790625,0.06375,0.3678125,0.14125,67.12254902,13,0,14,0,106
6636,7555,389,764,412,1,1,1,3372,1.96797153,2.240510083,0.115361803,0.226571767,0.122182681,19.42159383,9,0,7,0,155
590,538,815,415,5,1,1,1,3901,0.151243271,0.137913356,0.20892079,0.106382979,0.001281723,0.660122699,10,0,11,0,11
8056,3047,1936,7229,103,1,1,1,3680,2.189130435,0.82798913,0.526086957,1.964402174,0.02798913,1.573863636,10,0,11,0,160
41693,17671,9895,10110,0,0,0,1,4378,9.52329831,4.036317953,2.260164459,2.309273641,0,1.78585144,15,0,16,0,125
6666,5592,666,4391,196,0,0,1,4476,1.489276139,1.249329759,0.148793566,0.98100983,0.043789097,8.396396396,11,0,9,0,137
33064,252403,272,7327,1598,0,0,1,1572,21.03307888,160.5617048,0.17302799,4.660941476,1.01653944,927.9522059,12,0,13,0,75
49953,1833,784,35051,39,0,1,1,4512,11.07114362,0.40625,0.173758865,7.76839539,0.008643617,2.338010204,8,2,15,0,100
96035,378221,2631,462740,482,0,1,1,3808,25.21927521,99.3227416,0.690913866,121.5178571,0.12657563,143.7556062,15,0,15,0,50
