is_verified,friends_count,user_age,followers_growth_rate,favourites_count,tweets_freq,followers_friends_ratio,listed_count,friends_growth_rate,followers_count
1,3074,2711,2.449649576,13768,1.890077462,2.160377358,126,1.13389893,6641
1,1575,4424,1.913426763,4561,2.412296564,5.374603175,191,0.356012658,8465
0,454,1358,2.288659794,2400,0.518409426,6.845814978,77,0.334315169,3108
1,526,4214,72.26578073,599,1.445420028,578.9505703,1515,0.124822022,304528
1,204,3200,4.2790625,1177,4.0521875,67.12254902,452,0.06375,13693
1,389,3372,2.240510083,764,1.96797153,19.42159383,412,0.115361803,7555
1,815,3901,0.137913356,415,0.151243271,0.660122699,5,0.20892079,538
1,1936,3680,0.82798913,7229,2.189130435,1.573863636,103,0.526086957,3047
1,9895,4378,4.036317953,10110,9.52329831,1.78585144,0,2.260164459,17671
1,666,4476,1.249329759,4391,1.489276139,8.396396396,196,0.148793566,5592
1,272,1572,160.5617048,7327,21.03307888,927.9522059,1598,0.17302799,252403
1,784,4512,0.40625,35051,11.07114362,2.338010204,39,0.173758865,1833
1,2631,3808,99.3227416,462740,25.21927521,143.7556062,482,0.690913866,378221
1,758,4451,0.583913727,448,1.361042462,3.428759894,129,0.170298809,2599
1,387,3445,7.194775036,15645,7.353555878,64.04651163,456,0.11233672,24786
1,2002,4169,0.634444711,2208,1.595826337,1.321178821,96,0.480211082,2645
1,118,3016,367.1773873,136,74.06465517,9384.805085,1250,0.039124668,1107407
0,1087,4412,1.332728921,255,3.181097008,5.409383625,169,0.246373527,5880
1,683,4412,0.378739801,287,0.588395286,2.446559297,57,0.154805077,1671
1,893,3024,8.857142857,11439,8.550595238,29.99328108,708,0.295304233,26784
0,391,3066,1.286040444,309,0.781148076,10.08439898,156,0.127527723,3943
1,543,4367,0.222120449,8749,2.117242959,1.786372007,28,0.124341653,970
1,696,3770,1.608488064,5800,4.85066313,8.712643678,154,0.184615385,6064
1,1302,4024,24.08200795,22194,7.375497018,74.42857143,147,0.323558648,96906
1,586,2020,2.17970297,8432,3.438613861,7.513651877,138,0.29009901,4403
1,1590,4530,0.547682119,21754,1.790507726,1.560377358,112,0.350993377,2481
1,291,4108,1.162366115,19515,6.361976631,16.40893471,204,0.07083739,4775
1,1198,4444,2.964221422,8791,17.2569757,10.99582638,388,0.269576958,13173
1,409,4552,2.215070299,5366,12.51274165,24.65281174,494,0.089850615,10083
1,1304,3862,1.185396168,3945,4.225789746,3.510736196,181,0.337648887,4578
1,5149,4459,5.727517381,26757,10.79008746,4.959992232,502,1.154743216,25539
1,1281,4436,1.022317403,1089,2.897204689,3.540202966,170,0.28877367,4535
1,532,4332,0.403739612,1207,1.193905817,3.287593985,81,0.122807018,1749
1,1007,4462,5.328103989,11979,5.189601076,23.60873883,286,0.22568355,23774
1,378,3408,1.053697183,15820,2.76056338,9.5,77,0.110915493,3591
1,591,4538,1.283605112,6063,2.468267959,9.856175973,67,0.130233583,5825
1,2084,4338,1.25242047,30245,22.10903642,2.607005758,204,0.480405717,5433
1,1779,4401,1.350829357,7937,2.122699387,3.341765037,95,0.404226312,5945
